title,class
Multilingual Information Retrieval based on Parallel Texts from the Web,RI
The Life Cycle of Test Cases in a CBR System,CBR
Instance Based Function Learning,ILP
On the Complexity of Some Inductive Logic Programming Problems ,ILP
Breaking the O(n 1=(2k 1) ) Barrier for Information­Theoretic Private Information Retrieval,RI
"Panorama: A Portable, Extensible Parallel Debugger",SON
A Dynamic Approach to Reducing Dialog in On-Line Decision Guides,CBR
A Hybrid Approach to Word Segmentation,ILP
Modular Preference Moore Machines in News Mining Agents,RI
The All-or-Nothing Nature of Two-Party Secure Computation,RI
Restructuring Chain Datalog Programs (Preliminary Report),ILP
A Case Retention Policy Based on Detrimental Retrieval,CBR
"Learning Boxes in High Dimension Amos Beimel y Eyal Kushilevitz z April 21, 1998",RI
Little Words Can Make a Big Difference for Text Classification,RI
Using Clustering Strategies for Creating Authority Files,RI
Tetravalent Miniantibodies with High Avidity Assembling in Escherichia coli,SON
Case-Based Planning to Learn,CBR
Production Tools for Electronic Arenas: Event Management and Content Production,SON
A Support System Based on CBR for the Design of Rubber Compounds in Motor Racing,CBR
Case-Based Quality Management System Using Expectation Values,CBR
Defining Similarity Measures: Top-Down vs. Bottom-Up,CBR
A First Study on Case-Based Planning in Organic Synthesis,CBR
A Memory-Based Hierarchical Planner,CBR
HUMAN PERCEPTION AND COMPUTER EXTRACTION OF MUSICAL BEAT STRENGTH,RI
Adaptive Rapid Serial Visual Presentation,SON
The Use of a Uniform Declarative Model in 3D Visualisation for Case-Based Reasoning,CBR
"Case-Based Reasoning for Candidate List Extraction in a Marketing Domain Michael Fagan, Konrad Bloor",CBR
Information­Theoretic Private Information Retrieval: A Unified Construction,RI
The Animation of Autonomous Actors Based on Production Rules,SON
Learning Subjective Nouns using Extraction Pattern Bootstrapping,RI
Handling Quantifiers in ILP,ILP
Analyzing and Learning ECG Waveforms,ILP
Personalized Conversational Case-Based Recommendation,CBR
Inferring Graphs from Walks (Extended Abstract),RI
ICARUS: Design and Deployment of a Case-Based Reasoning System for Locomotive Diagnostics,CBR
Robust Information­Theoretic Private Information Retrieval,RI
Building a Case-Based Decision Support System for Land Development Control Using Land Use Function Pattern,CBR
Lookahead and Discretization in ILP,ILP
A Tool for Range Sensing and Environment Discovery for the Blind,SON
Refining Complete Hypotheses in ILP,ILP
A Connectionist Indexing Approach for CBR Systems,CBR
"Case Based Reasoning, Fuzzy Systems Modeling and Solution Composition",CBR
Self­Organising Networks for Classification Learning from Normal and Aphasic Speech,RI
An Automatic and Guaranteed Determination of the Number of Roots of an Analytic Function Interior to A Simple Closed Curve in the Complex Plane,RI
Understanding Creativity: A Case-Based Approach,CBR
Applying the Rapid Serial Visual Presentation Techniqueto Small Screens,SON
A Case-Based Approach for Elaboration of Design Requirements,CBR
Improving Full­Text Precision on Short Queries using Simple Constraints,RI
Category-Based Filtering and User Stereotype Cases to Reduce the Latency Problem in Recommender Systems,CBR
Empirical Development of an Exponential Probabilistic Model for Text Retrieval,RI
Experiments in computer­assisted annotation of audio,RI
Experiments On Adaptation-Guided Retrieval In Case-Based Design,CBR
A Bootstrapping Method for Learning Semantic Lexicons using,RI
Hybrid­Search and Storage of Semi­structured Information,RI
Improved Bicriteria Existence Theorems for Scheduling,RI
DOGMA: A GA-Based Relational Learner,ILP
"University of Glasgow at the Web track of TREC 2002 Vassilis Plachouras, Iadh Ounis, Gianni Amati  , and C.J. Van Rijsbergen",RI
Automatic construction of parallel English­-Chinese corpus for cross­ language information retrieval,RI
Case-Based Reasoning for Cash Flow Forecasting using Fuzzy Retrieval,CBR
Organizing Encyclopedic Knowledge based on the Web and its Application to Question Answering,RI
INRECA: A Seamlessly Integrated System Based on Inductive Inference and Case-Based Reasoning,CBR
On the Power of Nonlinear Secret­Sharing,RI
Visualizing the Behavior of Higher Dimensional Dynamical Systems,SON
Coordinating the Interruption of People in Human-Computer Interaction,SON
Flexible Control of Case-Based Prediction in the Framework of Possibility Theory,CBR
A Utility-Based Approach to Learning in a Mixed Case-Based and Model-Based Reasoning Architecture,CBR
Spatial composition using cases : IDIOM,CBR
Presenting Dynamic Information on Mobile Computers,SON
Digital Image Similarity for Geo-spatial Knowledge Management,CBR
Beyond the Query­By­Example Paradigm: New Query Interfaces for Music Information Retrieval,RI
From Dots To Shapes: an auditor y haptic game platform for teaching geometry to blind pupils,SON
Artificial Synesthesia via Sonification: A Wearable Augmented Sensory System,SON
An Initial Experiment into Stereochemistry-Based Drug Design Using Inductive Logic Programming,ILP
Realizing Progol by Forward Reasoning,ILP
Combining Words and Compound Terms for Monolingual and Cross­Language Information Retrieval,RI
Gesture and Musical Interaction: Interactive Engagement Through Dynamic Morphology,SON
Supporting Electronic Design Reuse by Integrating Quality-Criteria into CBR-Based IP Selection,CBR
Synthesis of Sound Textures by Learning and Resampling of Wavelet Trees,SON
A New Approach to Solution Adaptation and Its Application for Design Purposes,CBR
Hybrid­Search and Storage of Semi­structured Information,RI
Applying Machine Translation to Two­Stage Cross­Language Information Retrieval,RI
How Well Can Passage Meaning be Derived without Using Word Order? A Comparison of Latent Semantic Analysis and Humans,RI
Automatically Selecting Strategies for Multi-Case-Base Reasoning,CBR
A Systematic Approach to Creating and Maintaining Software Documentation,RI
A Note on Two Simple Transformations for Improving the Efficiency of an ILP System,ILP
Cat­a­Cone: An Interactive Interface for Specifying Searches and Viewing Retrieval Results using a Large Category Hierarchy,RI
Reducing Lexical Semantic Complexity with Systematic Polysemous Classes and Underspecification,RI
Similarity Assessment for Generalizied Cases by Optimization Methods,CBR
Active Exploration in Instance-Based Preference Modeling,CBR
Activating CBR Systems through Autonomous Information Gathering,CBR
Granular Synthesis for Display of Time-Varying Probability Densities,SON
Discovering Internet Resources to Enrich a Structured Personal Information Space,RI
Learning from Positive Data,ILP
Integrated Case-Based Building Design,CBR
Combining Rule-Based and Case-Based Learning for Iterative Part-of-Speech Tagging,CBR
Polynomial-Time Learning in Logic Programming and Constraint Logic Programming,ILP
An Analogical Theory of Creativity in Design,CBR
Cautious Induction in Inductive Logic Programming,ILP
Which Hypotheses Can Be Found with Inverse Entailment?,ILP
Distances and Limits on Herbrand Interpretations,ILP
Morphosyntactic Tagging of Slovene Using Progol,ILP
Augmenting Reality Through The Coordinated Use of Diverse Interfaces,SON
Carcinogenesis Predictions Using ILP ,ILP
Fault Management in Computer Networks Using Case-Based Reasoning: DUMBO System,CBR
Diverse Product Recommendations Using an Expressive Language for Case Retrieval,CBR
Similarity Measures for Structured Representations,CBR
A Folder­Based Graphical Interface for an Information Retrieval System,RI
On Quality Measures for Case Base Maintenance,CBR
Combining LAPIS and WordNet for the Learning of LR Parsers with Optimal Semantic Constraints,ILP
Shaping a CBR View with XML,CBR
Efficient Reliable Communication over Partially Authenticated Networks,RI
Models for Metasearch,RI
Generating Numerical Literals During Refinement,ILP
Merge Strategies for Multiple Case Plan Replay ,CBR
Linguistic Annotation for the Semantic Web,RI
A Multivalued Conditional Logic with Probabilistic Interpretation for Causal Decision Theory,RI
An Assessment of ILP-Assisted Models for Toxicology and the PTE-3 Experiment,ILP
Some Properties of Inverse Resolution in Normal Logic Programs,ILP
Stratified Case-Based Reasoning in Non-Refinable Abstraction Hierarchies,CBR
ADAPtER: An Integrated Diagnostic System Combining Case-Based and Abductive Reasoning,CBR
Acquiring Graphic Design Knowledge with Nonmonotonic Inductive Learning,ILP
Inducing Shogi Heuristics Using Inductive Logic Programming,ILP
Probabilistic Surfaces: Point Based Primitives to Show Surface Uncertainty,SON
BioSonics: Sensual Explorations of a Complex System,SON
A Case Based Method for Solving Relatively Stable Dynamic Constraint Satisfaction Problems,CBR
Experiments on Case-Based Retrieval of Software Designs,CBR
Modeling the Multi-Sensory Design Space,SON
PBL: Prototype-Based Learning Algorithm,CBR
Sonification of Particle Systems via de Broglie's Hypothesis,SON
Similarity Measures for Structured Representations: A Definitional Approach,CBR
Analyses for Elucidating Current Question Answering Technology,RI
Evaluating a Multi-modal Reasoning System in Diabetes Care,CBR
New Conditions for the Existence of Least Generalizations under Relative Subsumption,ILP
Maintaining Unstructured Case Bases,CBR
Improving Case Representation and Case Base Maintenance in Recommender Agents,CBR
Bayesian Case Reconstruction,CBR
DISCRIMINATING VISIBLE SPEECH TOKENS USING MUL TI-MOD ALITY,SON
What You Saw Is What You Want: Using Cases to Seed Information Retrieval ,CBR
Managing Complex Knowledge in Natural Sciences,CBR
Three Power­aware Routing Algorithms for Sensor Networks,RI
Using Mobile Agents for Analyzing Intrusion in Computer Networks #,RI
"Generating, Visualizing, and Evaluating High­Quality Clusters for Information Organization",RI
Auditory Presentation of Graphical User Interfaces,SON
Flexibly Interleaving Processes,CBR
Artefact & Artifice : views on life Alan Dorin,SON
A Case-Based Approach for Developing Writing Tools Aimed at Non-native English Users,CBR
FILTERING NOISY PARALLEL CORPORA OF WEB PAGES,RI
Attribute-Value Learning Versus Inductive Logic Programming: The Missing Links (Extended Abstract),ILP
A New Algorithm for Learning Range Restricted Horn Expressions (Extended Abstract),ILP
Creative Design: Reasoning and Understanding,CBR
Refinement Operators Can Be (Weakly) Perfect,ILP
The Dynamic Absorbing Model for the Web,RI
LOWER BOUNDS FOR MONOTONE SPAN PROGRAMS,RI
An Experimental Study of Increasing Diversity for Case-Based Diagnosis,CBR
Analysis and Prediction of Piano Performances Using Inductive Logic Programming,ILP
KM-PEB: An Online Experience Base on Knowledge Management Technology,CBR
Problem Solving with The Incredible Machine An Experiment in Case-Based Reasoning,CBR
TileBars: Visualization of Term Distribution Information in Full Text Information Access,RI
SONIFICATION OF GEO-REFERENDED DATA FOR AUDITORY INFORMATION SEEKING: DESIGN PRINCIPLE AND PILOT STUDY,SON
Fuzzy Modelling of Case-Based Reasoning and Decision,CBR
A Reflective Architecture for Integrated Memory-based Learning and Reasoning,CBR
Lexical Semantics in the Age of the Semantic Web,RI
INFORMATION EXTRACTION AS A BASIS FOR PORTABLE TEXT CLASSIFICATION SYSTEMS,RI
Search and Adaptation in a Fuzzy Object Oriented Case Base,CBR
Refining Conversational Case Libraries,CBR
Case-Based Reasoning for Breast Cancer Treatment Decision Helping,CBR
Reuse of Knowledge: Empirical Studies,CBR
Empirically Validated Web Page Design Metrics,RI
Fish and Sink An Anytime-Algorithm to Retrieve Adequate Cases,CBR
Using Guidelines to Constrain Interactive Case-Based HTN Planning,CBR
Modelling the CBR Life Cycle Using Description Logics ,CBR
Factors Influencing the Dimer to Monomer Transition of an Antibody Single-Chain Fv Fragment,SON
Application of Different Learning Methods to Hungarian Part-of-Speech Tagging,ILP
Constructive Adaptation,CBR
Efficient Ø-Subsumption Based on Graph Algorithms,ILP
Systematic Predicate Invention in Inductive Logic Programming,ILP
Generalization under Implication by A-Subsumption,ILP
A Corpus­Based Approach for Building Semantic Lexicons,RI
Evaluating Database Selection Techniques: A Testbed and Experiment,RI
Distance Induction in First Order Logic,ILP
Efficient Searching in Distributed Digital Libraries,RI
Bayes Optimal Metasearch: A Probabilistic Model for Combining the Results of Multiple Retrieval Systems,RI
MUSESCAPE: AN INTERACTIVE CONTENT-AWARE MUSIC BROWSER,SON
Ocram-CBR: A Shell for Case-Based Educational Systems,CBR
Designing Non-Speech Sounds to Support Navigation in Mobile Phone Menus,SON
Bootstrapping for Text Learning Tasks,RI
A Large Case-Based Reasoner for Legal Cases,CBR
A-Life and Musical Composition: A Brief Survey,SON
On a Sufficient Condition for the Existence of Most Specific Hypothesis in Progol,ILP
An Automated Hybrid CBR System for Forecasting ,CBR
Using ILP to Improve Planning in Hierarchical Reinforcement Learning,ILP
Applying Case-Based Reasoning to Automated Deduction,CBR
Corpus­Based Identification of Non­Anaphoric Noun Phrases,RI
Estimating Software Development Effort with Case-Based Reasoning,CBR
Analysis of the Evolution of Peer­to­Peer Systems,RI
Comparison-Based Recommendation,CBR
 Empirical Development of an Exponential Probabilistic Model for Text Retrieval Using Textual Analysis to Build a Better Model,RI
Responsive Sonification of Well-logs,SON
Automatically Generating Extraction Patterns from Untagged Text,RI
Intelligent Case-Authoring Support in CaseMaker-2,CBR
Maintenance of a Case-Base for the Retrieval of Rotationally Symmetric Shapes for the Design of Metal Castings,CBR
A cross-modal electronic travel aid device,SON
Experimental Study of a Similarity Metric for Retrieving Pieces from Structured Plan Cases: Its Role in the Originality of Plan Case Solutions,CBR
Analogical Asides on Case-Based Reasoning,CBR
Reducing the Servers' Computation in Private Information Retrieval: PIR with Preprocessing,RI
1BC: A First-Order Bayesian Classifier,ILP
Using Prior Probabilities and Density Estimation for Relational Classification,ILP
Theory Completion Using Inverse Entailment,ILP
THE APPLICATION OF A METHOD FOR INTEGRATING NON-SPEECH AUDIO INTO HUMAN-COMPUTER INTERFACES,SON
Part-of-Speech Tagging Using Progol,ILP
A Unified CBR Architecture for Robot Navigation,CBR
An Evolutionary Approach to Case Adaptation,CBR
Adaptation Through Interpolation for Time-Critical Case-Based Reasoning,CBR
Supporting Reusability in a System Design Environment by Case-Based Reasoning Techniques,CBR
Concurrent Execution of Optimal Hypothesis Search for Inverse Entailment,ILP
Using Star Clusters for Filtering,RI
An Empirical Approach to Conceptual Case Frame Acquisition,RI
Metrics for Evaluating Database Selection Techniques,RI
Information Retrieval as Counterfactual,RI
A Practical Clustering Algorithm for Static and Dynamic Information Organization \Lambda,RI
Combining Divide-and-Conquer and Separate-and-Conquer for Efficient and Effective Rule Induction,ILP
"Combining CBR with Interactive Knowledge Acquisition, Manipulation and Reuse",CBR
Metasearch Consistency #,RI
PROFIL : a decision support tool for metallic sections design using a CBR approach,CBR
CBR for the Reuse of Image Processing Knowledge: A Recursive Retrieval/Adaptation Strategy,CBR
Parallel Web Text Mining for Cross-Language IR,RI
Adaptation Using Iterated Estimations,CBR
Audio Information Retrieval (AIR) Tools,RI
Metrics for Evaluating Database Selection Techniques,RI
"Speed-Up, Quality and Competence in Multi-modal Case-Based Reasoning",CBR
Applying a Hybrid Query Translation Method to Japanese/English Cross­Language Patent Retrieval,RI
Using Case-Based Reasoning for Reusing Software Knowledge,CBR
A WHISPER IN THE WOODS AN AMBIENT SOUNDSCAPE FOR PERIPHERAL AWARENESS OF REMOTE PROCESSES,SON
On the Complexity of Plan Adaptation by Derivational Analogy in a Universal Classical Planning Framework,CBR
Entropy-Based vs. Similarity-Influenced: Attribute Selection Methods for Dialogs Tested on Different Electronic Commerce Domains,CBR
Case-Based and Symbolic Classification - A Case Study -,CBR
An Unsupervised Semantic Tagger Applied to German,RI
Learning Phonetic Rules in a Speech Recognition System,ILP
Theoretical Analysis of Case Retrieval Method Based on Neighborhood of a New Problem,CBR
Integrating CBR and Heuristic Search for Learning and Reusing Solutions in Real-Time Task Scheduling,CBR
Detecting Traffic Problems with ILP,ILP
Knowledge Engineering for CBR systems from a Cognitive Science Perspective,CBR
Psychophysical Scaling of Sonification Mappings,SON
A Case-Based Methodology for Planning Individualized Case Oriented Tutoring,CBR
Using a Neural Network to Learn General Knowledge in a Case-Based System,CBR
Exploiting Strong Syntactic Heuristics and Co­Training to Learn Semantic Lexicons,RI
Inverse Entailment in Nonmonotonic Logic Programs,ILP
The Evaluation of a Hierarchical Case Representation Using Context Guided Retrieval,CBR
Supporting Tourism Culture via CBR,CBR
Repeat Learning Using Predicate Invention,ILP
Discovery of First-Order Regularities in a Relational Database Using Offline Candidate Determination,ILP
Integrating Hybrid Rule-Based with Case-Based Reasoning,CBR
WebSound: a generic Web sonification tool allowing HCI researchers to dynamically create new access modalities,SON
Improving Algorithms for Boosting,RI
On Hyperstructure and Musical Structure,SON
Approximate ILP Rules by Backpropagation Neural Network: A Result on Thai Character Recognition,ILP
VIRTUAL CONTACT: THE CONTINUUM FROM PURELY VISUAL TO PURELY PHYSICAL,SON
Speech­Driven Text Retrieval: Using Target IR Collections for Statistical Language Model Adaptation in Speech Recognition,RI
Selecting Most Adaptable Diagnostic Solutions through Pivoting-Based Retrieval,CBR
Case Library Reduction Applied to Pile Foundations,CBR
Learning to Adapt for Case-Based Design,CBR
Learning User Preferences in Case-Based Software Reuse,CBR
Probabilistic First-Order Classification,ILP
Integrating Rules and Cases for the Classification Task,CBR
An Efficient Approach to Similarity-Based Retrieval on Top of Relational Databases,CBR
The quest for auditory direct manipulation: The sonified Towers of Hanoi,SON
General Bounds on Statistical Query Learning and PAC Learning with Noise via Hypothesis Boosting,RI
Integration of Case Based Retrieval with a Relational Database System in Aircraft Technical Support,CBR
Feature Construction with Inductive Logic Programming: A Study of Quantitative Predictions of Biological Activity by Structural Attributes,ILP
Using Software Process Modeling for Building a Case-Based Reasoning Methodology: Basic Approach and Case Study,CBR
Case-Based Reasoning in Color Matching,CBR
CBR-Based Ultra Sonic Image Interpretation,CBR
Integrating Structural Search Capabilities Into Project Haystack,RI
Poetry Generation in COLIBRI,CBR
Normal Forms for Inductive Logic Programming,ILP
Data Manipulation Services in the Haystack IR System,RI
A Stochastic Simple Similarity,ILP
Integrating Rule-Based and Case-Based Decision Making in Diabetic Patient Management,CBR
Weighting Features,CBR
Hand Postures for Sonification Control - Extended,SON
Investigating Auditory Direct Manipulation: Sonifying the Towers of Hanoi,SON
Case-based Diagnosis of Multiple Faults,CBR
A Refinement Operator for Description Logics,ILP
Condorcet Fusion for Improved Retrieval #,RI
Case-Based Reasoning in an Ultrasonic Rail-Inspection System,CBR
On the Admissibility of Concrete Domains for CBR Based on Description Logics,CBR
Relational Knowledge Discovery in Databases,ILP
Least Generalizations under Implication,ILP
Modelling of the Ultrasound Return from Albunex Microspheres,SON
Lessons Learned from Deployed CBR Systems and Design Decisions Made in Building a Commercial CBR Tool,CBR
Information Extraction as a Stepping Stone toward Story Understanding,RI
An Approach to Aggregating Ensembles of Lazy Learners That Supports Explanation,CBR
Large-Scale Fault Diagnosis for On-Board Train Systems,CBR
Specification and Simulation of Statistical Query Algorithms for Eficiency and Noise Tolerance,RI
Selecting and Comparing Multiple Cases to Maximise Result Quality after Adaptation in Case-Based Adaptive Scheduling,CBR
A Haptic Back Display for Attentional and Directional Cueing,SON
Buses for Anonymous Message Delivery,RI
Similarity Evaluation Between Observed Behaviours for the Prediction of Processes,CBR
A Sonification Enhanced Navigation Tool,SON
A new approach to clustering,RI
N >> 2: Multi­speaker Display Systems for Virtual Reality and Spatial Audio Projection,RI
Inductive Learning for Case-Based Diagnosis with Multiple Faults,CBR
An Information­theoretic Measure for Document Similarity,RI
MODELING AND SONIFYING PEN STROKES ON SURFACES,SON
Evaluating the Application of CBR in Mesh Design for Simulation Problems,CBR
Stochastic Propositionalization of Non-determinate Background Knowledge,ILP
Case-Based Reasoning for Information System Design,CBR
Learning First-Order Acyclic Horn Programs from Entailment,ILP
Route Planning by Analogy,CBR
"Prolog, Refinements and RLGGs",ILP
Development and Utilization of a Case-Based Help-Desk Support System in a Corporate Environment,CBR
Genetic Algorithms to Optimise CBR Retrieval,CBR
A Similarity Metric for Retrieval of Cases Imperfectly Explained ,CBR
An Architecture for Spatial Audio Servers,SON
Diversity-Conscious Retrieval,CBR
Personify a toolkit for perceptually meaningful sonification,SON
A Corpus-based Bootstrapping Algorithm for Semi-Automated Semantic Lexicon Construction,RI
Indexing by Latent Semantic Analysis,RI
The Adaptation Knowledge Bottleneck: How to Ease it by Learning from Cases,CBR
Extending K-Means Clustering to First-Order Representations,ILP
An Average-Case Analysis of k-Nearest Neighbor Classifier,CBR
"Systems, Tasks and Adaptation Knowledge: Revealing Some Revealing Dependencies",CBR
Extending Synsets with Medical Terms,RI
PERSONAL WEBMELODY: CUSTOMIZED SONIFICATION OF WEB SERVERS,SON
Building Compact Competent Case-Bases,CBR
Improving Part of Speech Disambiguation Rules by Adding Linguistic Knowledge,ILP
"WebSound: a generic Web sonification tool, and its application to an auditory Web browser for blind and visually impaired users",SON
Communication in Key Distribution Schemes \Lambda,RI
From Troubleshooting to Process Design: Closing the Manufacturing Loop,CBR
Exploiting Taxonomic and Causal Relations in Conversational Case Retrieval,CBR
Knowledge Engineering Requirements in Derivational Analogy,CBR
CBR in a Changing Environment,CBR
Principal Curve Sonification,SON
A Hybrid Case-Based Reasoner for Footwear Design,CBR
Inductive Logic Program Synthesis with DIALOGS,ILP
Learning Dictionaries for Information Extraction by Multi­Level Bootstrapping,RI
ELSI: A Medical Equipment Diagnostic System,CBR
An Architecture for a CBR Image Segmentation System,CBR
Distributed Energy­conserving Routing Protocols,RI
Representing Temporal Knowledge for Case-Based Prediction,CBR
EXTRACTION­BASED TEXT CATEGORIZATION: GENERATING DOMAIN­SPECIFIC ROLE RELATIONSHIPS AUTOMATICALLY,RI
Sorted Downward Refinement: Building Background Knowledge into a Refinement Operator for Inductive Logic Programming,ILP
